Action;Project;Area_ha;Type;Avrg_CC_before;Avrg_CC_after;Heat_mitigation_index_before;Heat_mitigation_index_after;Avrg_WGTB_before;Avrg_WGTB_after;LLight_work_bef;LLight_work_aft;LHeavy_work_bef;LHeavy_work_aft;LS_prob_before;LS_prob_after;Deg_prot_bef;Deg_prot_after;Carbon_ha_before;Carbon_ha_after;rnf_rt_idx_bef;rnf_rt_m3_bef;flood_vol_bef;aff_bld_bef;serv_blt_bef;rnf_rt_idx_aft;rnf_rt_m3_aft;flood_vol_aft;aff_bld_aft;serv_blt_aft
Ateco1;Ateco;3,97;Agroforestry;0,583;0,599;1;0,95;40,16;40,31;75;75;75;75;0;0;0;0;329,41;377,34;0,551154;2192,437048;1785,462841;0,000029;0,06427;0,563154;2240,171484;1737,728161;0,000029;0,065669
BIDyn1;BIDyn;1,61;River restoration ;0,82;0,262;0,92;1;33,41;33,08;75;75;75;75;0;0;0;0;541,49;300,62;0,495157;798,985178;814,614998;0,000001;0,000638;0,801704;1293,62878;319,971204;0,000001;0,001033
BIDyn10;BIDyn;0,1;River restoration ;0,387;0,254;0,58;1;36,79;35,7;75;75;75;75;0;0;0;0;279,17;328,13;0,311186;32,363377;71,636627;0;0;0,801703;83,377167;20,622835;0;0
BIDyn11;BIDyn;6,58;River restoration ;0,9;0,261;1;1;33,08;33,08;75;75;75;75;0;0;0;0;596,39;298,19;0,542885;3572,34544;3007,955215;0;0;0,801704;5275,449684;1304,850368;0;0
BIDyn12;BIDyn;3,02;River restoration ;0,777;0,454;1;1;35,7;35,7;75;75;75;75;0;0;0;0;531,70;584,41;0,542885;1642,063812;1382,636395;0;0;0,437396;1322,991474;1701,708694;0;0
BIDyn2;BIDyn;1,01;River restoration ;0,827;0,258;0,91;1;35,87;35,7;75;75;75;75;0;0;0;0;544,47;297,56;0,498589;504,422995;507,277113;0;0;0,801704;811,083483;200,616566;0;0
BIDyn3;BIDyn;2,68;River restoration ;0,259;0,208;0,94;0,84;32,31;32,76;50;74,47;75;75;0;0;0;0;423,29;275,63;0,363229;973,707776;1706,992454;0,0002;0,194375;0,314625;843,414173;1837,285877;0,0002;0,168365
BIDyn4;BIDyn;2,23;River restoration ;0,39;0,341;0,85;1;33,39;32,83;75;75;75;75;0;0;0;0;318,45;371,80;0,417774;932,512898;1299,587325;7271,366211;6780642,778;0,391394;873,631264;1358,468938;7271,366211;6352492,85
BIDyn5;BIDyn;1,09;River restoration ;0,099;0,263;0,099;1;37,06;32,52;75;75;75;75;0;0;0;0;18,46;297,62;0,030143;32,967037;1060,733047;0;0;0,801704;876,82312;216,876854;0;0
BIDyn6;BIDyn;3,21;River restoration ;0,891;0,867;1;1;30,58;30,58;0;0;50;50;0;0;0;0;538,77;354,65;0,533324;1713,250633;1499,149765;0,028387;48,633259;0,812344;2609,573994;602,826031;0,028387;74,076779
BIDyn7;BIDyn;1,23;River restoration ;0,886;0,85;1;1;32,05;32,05;50;50;75;75;0;0;0;0;599,70;299,51;0,542885;667,965595;562,434591;0;0;0,801704;986,416004;243,984012;0;0
