Action;TYPE1;TYPE2;Avrg_CC_before;Avrg_CC_after;Avrg_WGTB_before;Avrg_WGTB_after;Population_30m;Population_240m;Population_450m;Economic_value
NCION6;Urban;Green urban area;0.091;0.271;40.87;39.55;12.7847674073729;256.746595364448;699.013675079987;108220.664568
NCION7;Urban;Integration of green elements in urban areas;0.088;0.254;43.51;42.49;18.8457776363721;425.294958849549;1343.31063099021;279926.396918
NCION8;Urban;Integration of green elements in urban areas;0.083;0.239;42.86;39.76;14.8841282901494;351.896547245716;772.911325683825;772506.570182
ONRTM1;Forest;Active forest plantation/restoration;0.219;0.783;34.14;33.68;0;0;0;0
ONRTM10;Forest;Active forest plantation/restoration;0.213;0.765;33.01;33.01;0;0;0;0
ONRTM2;Forest;Active forest plantation/restoration;0.395;0.789;34.1;33.68;0;0;0;0
ONRTM3;Forest;Active forest plantation/restoration;0.565;0.879;33.94;33.68;0;0;0;0
ONRTM4;Forest;Active forest plantation/restoration;0.394;0.799;33.85;33.68;0;0;7.33384193788235;0
ONRTM5;Forest;Active forest plantation/restoration;0.663;0.83;30.17;29.38;0;0;0;0
ONRTM6;Forest;Active forest plantation/restoration;0.424;0.866;31.18;29.38;0;0;0;0
ONRTM7;Forest;Active forest plantation/restoration;0.681;0.812;29.94;29.38;0;0;0;0
ONRTM8;Forest;Active forest plantation/restoration;0.571;0.651;30.3;30.3;0;0;0;0
PaDug1;Urban;Green urban area;0.307;0.237;37.73;37.57;154.59275357055;2106.93773211929;7008.5739698996;704781.150098
ParNorMi1;Urban;Green urban area;0.298;0.451;37.34;37.34;417.953423471686;4668.656138866;10940.509697482;0
PerMi1;Urban;Green urban area;0.376;0.525;37.34;37.34;10.5756165222575;443.314656335615;2118.69645237602;0
ReAll1;Forest;Forest plantation/restoration;0.573;0.93;30.78;30.78;0;0;69.257416373235;0
ReBu1;Forest;Forest plantation/restoration;0.135;0.819;43.89;43.89;0.481011737356859;13.5339501135326;68.3090456372379;0
ReCan1;Forest;Forest plantation/restoration;0.123;0.645;36.04;36.04;0;0;0;0
ReChi1;Forest;Forest plantation/restoration;0.248;0.899;40.51;40.41;0;0;0;1787956.3019
ReInn1;Forest;Active forest plantation/restoration;0.125;0.802;39.07;39.07;0;230.251152733066;624.535918458266;0
Reluc1;Forest;Forest plantation/restoration;0.567;0.681;34;34;0;0;0;0
Reluc2;Forest;Forest plantation/restoration;0.603;0.772;36.08;35.91;3.56324650602125;39.1177403832861;43.0198558386615;549581.36501
ReMen1;Forest;Forest plantation/restoration;0.123;0.892;39.81;39.25;0;92.4915104223144;358.620185271361;0
ReSa11;Forest;Forest plantation/restoration;0.759;0.855;41.63;41.63;0;43.5382474301063;53.7934339765797;0
ReSa2;Forest;Forest plantation/restoration;0.601;0.783;41.62;41.62;0;12.43601875602;68.41142714288;0
ReVe1;Forest;Forest plantation/restoration;0.543;0.804;34.24;34.24;2.60717923917455;18.3519240901948;30.838663894413;0
ValCam1;River;River restoration ;0.344;0.771;32.23;32.23;87.6219609751906;1932.78997710442;4750.59443822247;560570.143710224
