Action;Project;Area_ha;TYPE1;TYPE2;Avrg_CC_before;Avrg_CC_after;Heat_mitigation_index_before;Heat_mitigation_index_after;Avrg_WGTB_before;Avrg_WGTB_after;LLight_work_bef;LLight_work_aft;LHeavy_work_bef;LHeavy_work_aft;LS_prob_before;LS_prob_after;Deg_prot_bef;Deg_prot_after;Carbon_ha_before;Carbon_ha_after;rnf_rt_idx_bef;rnf_rt_m3_bef;flood_vol_bef;aff_bld_bef;serv_blt_bef;rnf_rt_idx_aft;rnf_rt_m3_aft;flood_vol_aft;aff_bld_aft;serv_blt_aft
BIDyn1;BIDyn;1.61;River;River restoration ;0.82;0.262;0.92;1;33.41;33.08;75;75;75;75;0;0;0;0;541.492032398533;300.61599782535;0.495157;798.985178;814.614998;0.000001;0.000638;0.801704;1293.62878;319.971204;0.000001;0.001033
BIDyn10;BIDyn;0.1;River;River restoration ;0.387;0.254;0.58;1;36.79;35.7;75;75;75;75;0;0;0;0;279.171029832214;328.130004405975;0.311186;32.363377;71.636627;0;0;0.801703;83.377167;20.622835;0;0
BIDyn11;BIDyn;6.58;River;River restoration ;0.9;0.261;1;1;33.08;33.08;75;75;75;75;0;0;0;0;596.387083226062;298.186668137649;0.542885;3572.34544;3007.955215;0;0;0.801704;5275.449684;1304.850368;0;0
BIDyn12;BIDyn;3.02;River;River restoration ;0.777;0.454;1;1;35.7;35.7;75;75;75;75;0;0;0;0;531.696198752384;584.408909753458;0.542885;1642.063812;1382.636395;0;0;0.437396;1322.991474;1701.708694;0;0
BIDyn2;BIDyn;1.01;River;River restoration ;0.827;0.258;0.91;1;35.87;35.7;75;75;75;75;0;0;0;0;544.469752286256;297.561637658884;0.498589;504.422995;507.277113;0;0;0.801704;811.083483;200.616566;0;0
BIDyn3;BIDyn;2.68;River;River restoration ;0.259;0.208;0.94;0.84;32.31;32.76;50;74.47;75;75;0;0;0;0;423.289348953751;275.629736836166;0.363229;973.707776;1706.992454;0.0002;0.194375;0.314625;843.414173;1837.285877;0.0002;0.168365
BIDyn4;BIDyn;2.23;River;River restoration ;0.39;0.341;0.85;1;33.39;32.83;75;75;75;75;0;0;0;0;318.447778606996;371.797417338119;0.417774;932.512898;1299.587325;7271.366211;6780642.777645;0.391394;873.631264;1358.468938;7271.366211;6352492.850417
BIDyn5;BIDyn;1.09;River;River restoration ;0.099;0.263;0.099;1;37.06;32.52;75;75;75;75;0;0;0;0;18.4624523607963;297.615829684319;0.030143;32.967037;1060.733047;0;0;0.801704;876.82312;216.876854;0;0
BIDyn6;BIDyn;3.21;River;River restoration ;0.891;0.867;1;1;30.58;30.58;0;0;50;50;0;0;0;0;538.771848348071;354.649544374965;0.533324;1713.250633;1499.149765;0.028387;48.633259;0.812344;2609.573994;602.826031;0.028387;74.076779
BIDyn7;BIDyn;1.23;River;River restoration ;0.886;0.85;1;1;32.05;32.05;50;50;75;75;0;0;0;0;599.70459802364;299.512605647731;0.542885;667.965595;562.434591;0;0;0.801704;986.416004;243.984012;0;0
BIDyn9;BIDyn;0.16;River;River restoration ;0.1;0.258;0.1;1;37.07;32.52;75;75;75;75;0;0;0;0;18.7413759995251;298.300004005432;0.030143;4.831869;155.468141;0;0;0.801704;128.51307;31.786925;0;0
BozHos1;BozHos;1.5;Urban;Integration of green elements in urban areas;0.093;0.111;0.093;0.38;42.07;41.35;75;75;75;75;0;0;0;0;0.289317611333333;112.19471795337;0.059624;90.342575;1424.8573;0.001082;0.097795;0.269899;408.950928;1106.249146;0.001082;0.442688
Can1;Can;0.56;Urban;Green urban area;0.127;0.82;1;1;37.34;37.34;75;75;75;75;0;0;0;0;32.5130161607143;571.801354842527;0.248905;142.497894;430.002136;0.00027;0.038525;0.656789;376.011444;196.488586;0.00027;0.101656
Cem1;Cem;0.27;Wetland;Wetland restoration (Herbaceous);0.088;0.156;0.088;1;39.28;38.67;75;75;75;75;0;0;0;0;0.289813344444444;598.166635301378;0.344949;94.964371;180.335648;0;0;0.347247;95.597031;179.702972;0;0
CeRes1;CeRes;4.9;Wetland;Wetland restoration (Herbaceous);0.383;0.402;1;1;38.78;38.78;75;75;75;75;0;0;0;0;206.077886862414;539.958457995434;0.425494;2088.367046;2819.733286;2285.554101;4773075.867564;0.432723;2123.847904;2784.25194;2285.554101;4854169.287734
CiRes1;CiRes;8.34;Wetland;Wetland restoration (Forested);0.468;0.476;1;1;39.57;39.57;75;75;75;75;0;0;0;0;396.774103357314;556.332610322417;0.654372;772.159241;407.840759;0;0;0.651542;768.819641;411.18042;0;0
CiRes2;CiRes;8.25;Wetland;Wetland restoration (Forested);0.279;0.3;1;1;39.57;39.57;75;75;75;75;0;0;0;0;257.185492484849;569.85085441127;0.515265;4137.574219;3892.425781;89.416324;369966.675919;0.358263;2876.848633;5153.152344;89.416324;257237.228756
CiRes3;CiRes;2.12;Wetland;Wetland restoration (Forested);0.343;0.421;1;1;39.57;39.57;75;75;75;75;0;0;0;0;290.097358254717;570.420565920056;0.501493;1068.181152;1061.81897;0;0;0.435895;928.455994;1201.544189;0;0
CiRes4;CiRes;5.58;Wetland;Wetland restoration (Forested);0.249;0.242;1;1;39.57;39.57;75;75;75;75;0;0;0;0;244.48180609319;209.718084197799;0.532865;2445.851807;2144.148438;0;0;0.327933;1505.213135;3084.787354;0;0
CiRes5;CiRes;30.99;Wetland;Wetland restoration (Forested);0.267;0.272;1;1;39.57;39.57;75;75;75;75;0;0;0;0;512.769399238579;593.974941951608;0.526127;16341.501953;14718.498047;0;0;0.485376;15075.767578;15984.232422;0;0.003882
CiRes6;CiRes;7.14;Wetland;Wetland restoration (Forested);0.281;0.333;1;1;39.57;39.57;75;75;75;75;0;0;0;0;262.982942919437;563.132051593449;0.399961;2839.72052;4260.279251;0;0;0.364189;2585.741089;4514.258698;0;0
CiRes7;CiRes;2.72;Wetland;Wetland restoration (Forested);0.248;0.263;1;1;39.57;39.57;75;75;75;75;0;0;0;0;297.994816653869;586.053613704794;0.533551;1456.595093;1273.405151;0;0;0.389199;1062.513916;1667.486328;0;0
Fir1;Fir;2.2;Urban;Green urban area;0.086;0.254;0.086;0.254;42.08;41.54;75;75;75;75;0;0;0;0;0.286649989112365;132.769712392579;0.303634;670.150879;1536.949158;4981.625699;3338440.840624;0.489694;1080.803925;1126.296356;4981.625699;5384160.606263
InRe11;InRe1;0.87;Wetland;Wetland restoration (Herbaceous);0.206;0.223;1;1;38.7;38.7;75;75;75;75;0;0;0;0;250.718390804598;588.689624304059;0.51423;450.774231;425.825867;0;0.000011;0.347247;304.396423;572.203613;0;0.000007
InRe110;InRe1;2;Wetland;Wetland restoration (Herbaceous);0.175;0.175;1;1;38.73;38.73;75;75;75;75;0;0;0;0;250.9375;586.36496925354;0.51423;1033.448486;976.251648;0.000363;0.375033;0.347247;697.861755;1311.838379;0.000363;0.25325
InRe111;InRe1;2.69;Wetland;Wetland restoration (Herbaceous);0.931;0.931;1;1;38.73;38.73;75;75;75;75;0;0;0;0;31.8017544827275;557.132289932563;0.248905;670.25061;2022.550171;0;0;0.672893;1811.966003;880.834198;0;0
InRe112;InRe1;0.97;Wetland;Wetland restoration (Herbaceous);0.168;0.168;1;1;38.73;38.73;75;75;75;75;0;0;0;0;251.288659793814;577.499969718383;0.51376;503.073364;476.126709;0;0;0.346922;339.706177;639.493835;0;0
InRe114;InRe1;4.21;Wetland;Wetland restoration (Forested);0.119;0.861;1;1;38.08;38.08;75;75;75;75;0;0;0;0;31.9339647145849;597.485846748261;0.248905;1050.377594;3169.622757;0;0;0.656788;2771.647675;1448.352612;0;0
InRe115;InRe1;11.78;Wetland;Wetland restoration (Herbaceous);0.153;0.17;1;1;38.08;38.08;75;75;75;75;0;0;0;0;250,00;582.741056030999;0.509719;5591.412759;5378.187864;93.711395;523979.090256;0.344136;3775.034362;7194.56577;93.711395;353763.736674
InRe117;InRe1;3.02;Wetland;Wetland restoration (Herbaceous);0.345;0.859;1;1;34.2;34.2;75;75;75;75;0;0;0;0;353.400063119977;593.047389684134;0.615803;1861.697266;1161.50293;0;0;0.656788;1985.603027;1037.596985;0;0
InRe118;InRe1;0.83;Wetland;Wetland restoration (Herbaceous);0.152;0.17;1;1;34.2;34.2;75;75;75;75;0;0;0;0;252.259036144578;585.505993394967;0.51423;429.896393;406.103638;0;0;0.347247;290.298279;545.701721;0;0
InRe119;InRe1;2.92;Wetland;Wetland restoration (Herbaceous);0.154;0.174;1;1;34.2;34.2;75;75;75;75;0;0;0;0;250.428082191781;582.996544772632;0.51423;1504.431915;1421.168259;0;0.000554;0.347247;1015.905121;1909.694931;0;0.000374
InRe12;InRe1;5.3;Wetland;Wetland restoration (Herbaceous);0.21;0.228;1;1;38.7;38.7;75;75;75;75;0;0;0;0;250,00;581.176384619947;0.464853;2459.16333;2831.036865;0;0;0.313198;1656.880981;3633.319336;0;0
InRe122;InRe1;1.17;Wetland;Wetland restoration (Herbaceous);0.148;0.166;1;1;40.53;40.53;75;75;75;75;0;0;0;0;250.534188034188;584.68617109152;0.51423;605.506042;571.993958;0;0;0.347247;408.882935;768.617126;0;0
InRe123;InRe1;77.38;Wetland;Wetland restoration (Forested);0.48;0.448;1;1;40.53;40.53;75;75;75;75;0;0;0;0;348.116796220222;435.233068588397;0.519098;40175.565857;37219.434448;0.006175;248.081862;0.393149;30427.801697;46967.199097;0.006175;187.889966
InRe124;InRe1;4.63;Wetland;Wetland restoration (Herbaceous);0.268;0.286;1;1;40.53;40.53;75;75;75;75;0;0;0;0;250,00;582.515395151101;0.51423;2388.599609;2256.400391;81.841899;195487.527051;0.347247;1612.960693;3032.039551;81.841899;132007.765529
InRe125;InRe1;4.98;Wetland;Wetland restoration (Herbaceous);0.148;0.166;1;1;40.53;40.53;75;75;75;75;0;0;0;0;250.627510040161;582.596041280103;0.470962;2346.570313;2635.929443;0;0.000347;0.317411;1581.501221;3400.998779;0;0.000234
InRe127;InRe1;2.22;Wetland;Wetland restoration (Herbaceous);0.155;0.175;1;1;39.57;39.57;75;75;75;75;0;0;0;0;250,00;584.910017251968;0.51423;1144.88208;1081.517944;0;0;0.347247;773.110107;1453.289795;0;0
InRe128;InRe1;3.32;Wetland;Wetland restoration (Herbaceous);0.551;0.567;1;1;38.17;38.17;75;75;75;75;0;0;0;0;370.394979614809;585.929393552872;0.563776;1877.823486;1452.976807;0.000001;0.001673;0.454826;1514.934937;1815.86499;0.000001;0.001349
InRe13;InRe1;2;Wetland;Wetland restoration (Herbaceous);0.194;0.214;1;1;38.7;38.7;75;75;75;75;0;0;0;0;249.6875;582.46561717987;0.51423;1031.134521;974.065674;0.000001;0.000999;0.347247;696.299133;1308.900879;0.000001;0.000674
InRe14;InRe1;3.3;Wetland;Wetland restoration (Herbaceous);0.15;0.169;1;1;38.7;38.7;75;75;75;75;0;0;0;0;251.325757575758;581.418017148971;0.411816;1358.746094;1940.653931;0;0;0.276627;912.702026;2386.698486;0;0
InRe15;InRe1;0.63;Wetland;Wetland restoration (Herbaceous);0.138;0.153;1;1;38.7;38.7;75;75;75;75;0;0;0;0;251.984126984127;591.145731721606;0.51423;329.518738;311.281311;0;0;0.347247;222.515686;418.284363;0;0
