Action;Project;Area_ha;TYPE1;TYPE2;GDP_2021;Cost_action;Tot_value_ha_EUR;Tot_value_EUR;Cost_eff_tot
NCION3;NCION;0,04;Urban;Integration of green elements in urban areas;20019389;5472,361809;1200954,725;48038,18899;8,778328382
NCION4;NCION;0,07;Urban;Green urban area;14876478;9576,633166;941718,8651;65920,32056;6,883454698
NCION5;NCION;0,28;Urban;Green urban area;10181937;38306,53266;772457,4575;216288,0881;5,646245511
NCION6;NCION;0,06;Urban;Green urban area;1438767;8208,542714;1835721,382;110143,2829;13,41812874
NCION7;NCION;0,18;Urban;Integration of green elements in urban areas;2765;24625,62814;1568656,779;282358,2202;11,46603119
NCION8;NCION;0,18;Urban;Integration of green elements in urban areas;4203;24625,62814;4294505,759;773011,0366;31,39051042
ONRTM1;ONRTM;24,41;Forest;Active forest plantation/restoration;6305;366150;38633,48866;943043,4583;2,575565911
ONRTM10;ONRTM;1,92;Forest;Active forest plantation/restoration;40795;28800;49701,91236;95427,67174;3,313460824
ONRTM2;ONRTM;3,2;Forest;Active forest plantation/restoration;25453;48000;32083,05291;102665,7693;2,138870194
ONRTM3;ONRTM;16,67;Forest;Active forest plantation/restoration;62077;250050;25615,12231;427004,0889;1,707674821
ONRTM4;ONRTM;167,05;Forest;Active forest plantation/restoration;4855;2505750;33901,19054;5663193,88;2,260079369
ONRTM5;ONRTM;55,28;Forest;Active forest plantation/restoration;4154;829200;11165,9639;617254,4843;0,744397593
ONRTM6;ONRTM;54,34;Forest;Active forest plantation/restoration;0;815100;28839,06783;1567114,946;1,922604522
ONRTM7;ONRTM;129,4;Forest;Active forest plantation/restoration;52717466;1941000;9078,280788;1174729,534;0,605218719
ONRTM8;ONRTM;199,54;Forest;Active forest plantation/restoration;220756377;2993100;5326,526541;1062855,106;0,355101769
PaDug1;PaDug;37,31;Urban;Green urban area;66790729;23000000;32997,32646;1231130,25;0,053527402
ParNorMi1;ParNorMi;17,73;Urban;Green urban area;250704;21000;10368,28325;183829,662;8,753793427
PerMi1;PerMi;8,83;Urban;Green urban area;57113;680000;8527324,925;75296279,08;110,7298222
ReAll1;ReAll;6,55;Forest;Forest plantation/restoration;3804;31813,35;22200,96823;145416,3419;4,570922015
ReBu1;ReBu;0,11;Forest;Forest plantation/restoration;188893;534,27;372691,1339;40996,02473;76,73278441
ReCan1;ReCan;8,97;Forest;Forest plantation/restoration;2285765;24285;46888,85171;420592,9998;17,31904467
ReChi1;ReChi;1,78;Forest;Forest plantation/restoration;45863;8645,46;1054942,006;1877796,77;217,2003306
ReInn1;ReInn;138,8;Forest;Active forest plantation/restoration;0;15412579,48;53057,95131;7364443,642;0,477820319
Reluc1;Reluc;13,96;Forest;Forest plantation/restoration;6398285;67803,72;16897,9272;235895,0637;3,479087338
Reluc2;Reluc;8,25;Forest;Forest plantation/restoration;86085;40070,25;466978,2182;3852570,301;96,14540215
ReMen1;ReMen;5,97;Forest;Forest plantation/restoration;27238;28996,29;50881,74383;303764,0107;10,47596126
ReSa11;ReSa1;64,73;Forest;Forest plantation/restoration;10106;314393,61;6569,262257;425228,3459;1,352534951
ReSa2;ReSa2;16,23;Forest;Forest plantation/restoration;3896848;78829,11;12010,0513;194923,1327;2,472730349
ReVe1;ReVe;85,19;Forest;Forest plantation/restoration;5748;413767,83;19242,46945;1639265,973;3,961801411
ValCam1;ValCam;11,77;River;River restoration ;2319834;205300;43694073,16;514279241,1;2505,013352
